dataset,split_type,mAP50_95,experiment,train_datasets
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.567,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.351,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.117,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,0.472,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,0.218,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,0.368,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250917_moc22-adhered_10x_caged_4_class,test_ds,0.269,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,0.468,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
231212_imr90_multichannel_overlay_4_class,test_ds,0.799,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
240213_imr90_multichannel_overlay_4_class,test_ds,0.611,2 Nodes,"231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
# 20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,0.693,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,0.44,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,0.763,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.049,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.693,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240509_hela-adhered_10x_caged_4_class,test_ds,0.423,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240515_DC-adhered_10x_caged_4_class,test_ds,0.283,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240516_DC-adhered_10x_caged_4_class,test_ds,0.254,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240624_mc38_10x_caged_4_class,test_ds,0.406,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
# 20240624_mc38_10x_uncaged_4_class,test_ds,0.57,3 Nodes (L3),"20240509_Hs675Tfibroblasts_10x_caged_4_class,20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
