dataset,split_type,mAP50_95,experiment,train_datasets
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,0.554,Baseline,
20240509_hela-adhered_10x_caged_4_class,train_ds,0.691,Baseline,
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,0.705,Baseline,
20240515_DC-adhered_10x_caged_4_class,train_ds,0.697,Baseline,
20240516_DC-adhered_10x_caged_4_class,train_ds,0.715,Baseline,
20240624_mc38_10x_caged_4_class,train_ds,0.651,Baseline,
20240624_mc38_10x_uncaged_4_class,train_ds,0.726,Baseline,
20240625_mc38_10x_caged_4_class,train_ds,0.696,Baseline,
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.637,Baseline,
20240704_neuron-adhered_10x_caged_4_class,train_ds,0.633,Baseline,
20240905_u87-adhered_10x_caged_4_class,train_ds,0.687,Baseline,
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,0.813,Baseline,
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,0.458,Baseline,
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,0.615,Baseline,
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,0.506,Baseline,
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,0.722,Baseline,
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,0.609,Baseline,
20250917_moc22-adhered_10x_caged_4_class,train_ds,0.64,Baseline,
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,0.73,Baseline,
231212_imr90_multichannel_overlay_4_class,train_ds,0.786,Baseline,
240213_imr90_multichannel_overlay_4_class,train_ds,0.765,Baseline,
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.554,Baseline,
20240509_hela-adhered_10x_caged_4_class,test_ds,0.691,Baseline,
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.705,Baseline,
20240515_DC-adhered_10x_caged_4_class,test_ds,0.697,Baseline,
20240516_DC-adhered_10x_caged_4_class,test_ds,0.715,Baseline,
20240624_mc38_10x_caged_4_class,test_ds,0.651,Baseline,
20240624_mc38_10x_uncaged_4_class,test_ds,0.726,Baseline,
20240625_mc38_10x_caged_4_class,test_ds,0.696,Baseline,
20240703_neuron-adhered_10x_caged_4_class,test_ds,0.637,Baseline,
20240704_neuron-adhered_10x_caged_4_class,test_ds,0.633,Baseline,
20240905_u87-adhered_10x_caged_4_class,test_ds,0.687,Baseline,
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.813,Baseline,
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.458,Baseline,
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.615,Baseline,
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,0.506,Baseline,
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,0.722,Baseline,
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,0.609,Baseline,
20250917_moc22-adhered_10x_caged_4_class,test_ds,0.64,Baseline,
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,0.73,Baseline,
231212_imr90_multichannel_overlay_4_class,test_ds,0.786,Baseline,
240213_imr90_multichannel_overlay_4_class,test_ds,0.765,Baseline,
20240516_DC-adhered_10x_caged_4_class,train_ds,0.711,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,0.558,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.634,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,0.728,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
231212_imr90_multichannel_overlay_4_class,train_ds,0.782,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,0.505,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240624_mc38_10x_uncaged_4_class,train_ds,0.722,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,0.702,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.558,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.702,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240509_hela-adhered_10x_caged_4_class,test_ds,0.543,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240515_DC-adhered_10x_caged_4_class,test_ds,0.688,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240516_DC-adhered_10x_caged_4_class,test_ds,0.711,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240624_mc38_10x_caged_4_class,test_ds,0.575,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240624_mc38_10x_uncaged_4_class,test_ds,0.722,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240625_mc38_10x_caged_4_class,test_ds,0.594,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240703_neuron-adhered_10x_caged_4_class,test_ds,0.634,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240704_neuron-adhered_10x_caged_4_class,test_ds,0.604,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240905_u87-adhered_10x_caged_4_class,test_ds,0.512,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.666,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.354,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.358,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,0.505,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,0.476,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,0.518,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20250917_moc22-adhered_10x_caged_4_class,test_ds,0.543,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,0.728,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
231212_imr90_multichannel_overlay_4_class,test_ds,0.782,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
240213_imr90_multichannel_overlay_4_class,test_ds,0.548,8 Node (a549+hs675+mc38),"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class"
20240516_DC-adhered_10x_caged_4_class,train_ds,0.709,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,0.552,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.622,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,0.727,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
231212_imr90_multichannel_overlay_4_class,train_ds,0.778,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,0.5,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240624_mc38_10x_uncaged_4_class,train_ds,0.718,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,0.699,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,0.431,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.552,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.699,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240509_hela-adhered_10x_caged_4_class,test_ds,0.556,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240515_DC-adhered_10x_caged_4_class,test_ds,0.688,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240516_DC-adhered_10x_caged_4_class,test_ds,0.709,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240624_mc38_10x_caged_4_class,test_ds,0.564,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240624_mc38_10x_uncaged_4_class,test_ds,0.718,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240625_mc38_10x_caged_4_class,test_ds,0.598,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240703_neuron-adhered_10x_caged_4_class,test_ds,0.622,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
20240704_neuron-adhered_10x_caged_4_class,test_ds,0.604,lora_0.01_20250108_neuron-adhered,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class,20240624_mc38_10x_uncaged_4_class,20240509_Hs675Tfibroblasts_10x_caged_4_class,20250108_neuron-adhered_10x_uncaged_4_class"
