Model,Dataset,Class,mAP@50,mAP@50-95,TP,FP,FN,Precision,Recall,F1
yolov26,20241212_preadipocytes-adhered_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20241212_preadipocytes-adhered_10x_uncaged_4_class,cell-adhered,0.6965661432630788,0.4290085532281291,31662.0,6554.0,10910.0,0.8285011513502198,0.7437282721037302,0.7838292815764718
yolov26,20241212_preadipocytes-adhered_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20241212_preadipocytes-adhered_10x_uncaged_4_class,all,0.5009058215733005,0.3138371260538672,,,,,,
yolo,20241212_preadipocytes-adhered_10x_uncaged_4_class,cell,0.3630621124109073,0.26154501441907163,2504.0,2634.0,2162.0,0.4873491630984819,0.536648092584655,0.5108119135046919
yolo,20241212_preadipocytes-adhered_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20241212_preadipocytes-adhered_10x_uncaged_4_class,cell-adhered,0.6387495307356937,0.3661292376886628,31113.0,10252.0,11459.0,0.7521576211773239,0.730832472047355,0.7413417205761464
yolo,20241212_preadipocytes-adhered_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240305_pbmc-nobeads_10x_caged_4_class,all,0.9889847139945144,0.7146904092936466,,,,,,
rf_detr_seg,20240305_pbmc-nobeads_10x_caged_4_class,cell,0.9889847139945144,0.7146904092936466,3074.0,170.0,22.0,0.9475955610357584,0.9928940568475452,0.9697160883280757
rf_detr_seg,20240305_pbmc-nobeads_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240305_pbmc-nobeads_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240305_pbmc-nobeads_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240305_pbmc-nobeads_10x_caged_4_class,all,0.9778789569947238,0.7234673590076386,,,,,,
yolov26,20240305_pbmc-nobeads_10x_caged_4_class,cell,0.9778789569947238,0.7234673590076386,3040.0,111.0,56.0,0.9647730879086004,0.9819121447028424,0.9732671682407555
yolov26,20240305_pbmc-nobeads_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240305_pbmc-nobeads_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240305_pbmc-nobeads_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240305_pbmc-nobeads_10x_caged_4_class,all,0.9697601423158325,0.6737807907270372,,,,,,
yolo,20240305_pbmc-nobeads_10x_caged_4_class,cell,0.9697601423158325,0.6737807907270372,3033.0,79.0,63.0,0.9746143958868895,0.9796511627906976,0.9771262886597938
yolo,20240305_pbmc-nobeads_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240305_pbmc-nobeads_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240305_pbmc-nobeads_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240306_mousepbmc-beads_10x_uncaged_4_class,all,0.976946920057963,0.6203890080353228,,,,,,
rf_detr_seg,20240306_mousepbmc-beads_10x_uncaged_4_class,cell,0.9638522801740127,0.5705027893083059,23466.0,2623.0,608.0,0.8994595423358503,0.9747445376755005,0.9355899766760362
rf_detr_seg,20240306_mousepbmc-beads_10x_uncaged_4_class,bead,0.9900415599419132,0.6702752267623396,33830.0,327.0,84.0,0.9904265597095764,0.9975231467830394,0.9939621865405238
rf_detr_seg,20240306_mousepbmc-beads_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240306_mousepbmc-beads_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240306_mousepbmc-beads_10x_uncaged_4_class,all,0.9711777571148279,0.6472285623408399,,,,,,
yolov26,20240306_mousepbmc-beads_10x_uncaged_4_class,cell,0.9525707646300865,0.588192569107653,23226.0,1564.0,848.0,0.936910044372731,0.9647752762316192,0.9506385068762279
yolov26,20240306_mousepbmc-beads_10x_uncaged_4_class,bead,0.9897847495995692,0.7062645555740267,33794.0,1024.0,120.0,0.9705899247515652,0.9964616382614849,0.9833556422045046
yolov26,20240306_mousepbmc-beads_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240306_mousepbmc-beads_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240306_mousepbmc-beads_10x_uncaged_4_class,all,0.9722112841740962,0.653025100283692,,,,,,
yolo,20240306_mousepbmc-beads_10x_uncaged_4_class,cell,0.95453496307702,0.5912977972243145,23288.0,2147.0,786.0,0.9155887556516611,0.9673506687712885,0.9407582459754792
yolo,20240306_mousepbmc-beads_10x_uncaged_4_class,bead,0.9898876052711723,0.7147524033430693,33766.0,646.0,148.0,0.9812274787864699,0.9956360205224981,0.9883792406990018
yolo,20240306_mousepbmc-beads_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240306_mousepbmc-beads_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240905_u87-adhered_10x_caged_4_class,all,0.8669822597761984,0.6734040929862993,,,,,,
rf_detr_seg,20240905_u87-adhered_10x_caged_4_class,cell,0.8114979159254194,0.6150440252227656,2381.0,2029.0,261.0,0.5399092970521542,0.9012112036336108,0.6752694271128757
rf_detr_seg,20240905_u87-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
