dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,soma,0.914,0.85,0.881,0.929,0.652
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,all,0.914,0.86,0.886,0.933,0.637
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.897,0.88,0.889,0.935,0.616
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,soma,0.931,0.84,0.883,0.931,0.659
20240704_neuron-adhered_10x_caged_4_class,train_ds,BBOX,all,0.905,0.885,0.895,0.927,0.647
20240704_neuron-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.899,0.88,0.889,0.924,0.626
20240704_neuron-adhered_10x_caged_4_class,train_ds,BBOX,soma,0.912,0.89,0.901,0.931,0.667
20240704_neuron-adhered_10x_caged_4_class,train_ds,SEGM,all,0.906,0.88,0.893,0.922,0.633
20240704_neuron-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.895,0.88,0.887,0.922,0.601
20240704_neuron-adhered_10x_caged_4_class,train_ds,SEGM,soma,0.918,0.88,0.899,0.923,0.665
20240905_u87-adhered_10x_caged_4_class,train_ds,BBOX,all,0.841,0.85,0.845,0.899,0.73
20240905_u87-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.774,0.8,0.787,0.849,0.679
20240905_u87-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.908,0.9,0.904,0.95,0.78
20240905_u87-adhered_10x_caged_4_class,train_ds,SEGM,all,0.85,0.86,0.855,0.905,0.687
20240905_u87-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.777,0.8,0.788,0.851,0.676
20240905_u87-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.923,0.92,0.921,0.96,0.698
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.91,0.91,0.91,0.96,0.83
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.876,0.89,0.883,0.947,0.808
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,cell-adhered,0.943,0.93,0.937,0.973,0.853
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.926,0.91,0.918,0.964,0.813
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.894,0.88,0.887,0.948,0.804
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,cell-adhered,0.957,0.94,0.949,0.98,0.822
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.645,0.645,0.644,0.659,0.449
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.474,0.53,0.5,0.478,0.336
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,BBOX,cell-adhered,0.817,0.76,0.788,0.84,0.562
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.68,0.675,0.676,0.692,0.458
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.474,0.53,0.5,0.477,0.323
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,SEGM,cell-adhered,0.886,0.82,0.852,0.907,0.592
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.836,0.79,0.812,0.857,0.623
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.744,0.67,0.705,0.751,0.517
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,soma,0.928,0.91,0.919,0.963,0.73
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.837,0.79,0.812,0.858,0.615
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.743,0.67,0.705,0.75,0.492
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,soma,0.93,0.91,0.92,0.965,0.739
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,all,0.697,0.71,0.702,0.723,0.491
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.568,0.65,0.606,0.593,0.404
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.826,0.77,0.797,0.853,0.578
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,all,0.731,0.735,0.731,0.752,0.506
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.568,0.65,0.606,0.593,0.398
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.895,0.82,0.856,0.911,0.615
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.965,0.945,0.955,0.979,0.728
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.961,0.94,0.95,0.98,0.741
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,soma,0.969,0.95,0.959,0.978,0.715
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.969,0.945,0.957,0.98,0.722
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.959,0.94,0.949,0.979,0.703
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,soma,0.98,0.95,0.965,0.981,0.741
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,all,0.732,0.765,0.748,0.772,0.592
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,cell,0.576,0.61,0.592,0.601,0.512
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.888,0.92,0.904,0.943,0.671
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,all,0.749,0.78,0.764,0.786,0.609
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,cell,0.576,0.61,0.592,0.601,0.519
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.922,0.95,0.936,0.971,0.7
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,all,0.747,0.75,0.747,0.806,0.643
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.646,0.71,0.677,0.723,0.575
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.848,0.79,0.818,0.889,0.711
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,all,0.754,0.755,0.753,0.809,0.64
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.646,0.71,0.677,0.723,0.57
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.861,0.8,0.829,0.896,0.711
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,BBOX,all,0.85,0.87,0.859,0.921,0.737
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,BBOX,cell,0.804,0.86,0.831,0.898,0.748
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,BBOX,cell-adhered,0.896,0.88,0.888,0.943,0.725
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,SEGM,all,0.855,0.875,0.865,0.925,0.73
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,SEGM,cell,0.804,0.86,0.831,0.898,0.741
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,SEGM,cell-adhered,0.906,0.89,0.898,0.951,0.72
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,all,0.952,0.905,0.928,0.963,0.813
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell,0.949,0.87,0.908,0.955,0.759
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell-adhered,0.955,0.94,0.948,0.971,0.867
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,all,0.953,0.91,0.931,0.965,0.786
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell,0.946,0.87,0.906,0.953,0.737
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell-adhered,0.96,0.95,0.955,0.976,0.835
240213_imr90_multichannel_overlay_4_class,train_ds,BBOX,all,0.907,0.89,0.898,0.948,0.797
240213_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell,0.878,0.88,0.879,0.94,0.759
240213_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell-adhered,0.936,0.9,0.917,0.957,0.835
240213_imr90_multichannel_overlay_4_class,train_ds,SEGM,all,0.918,0.91,0.914,0.958,0.765
240213_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell,0.889,0.88,0.885,0.944,0.744
240213_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell-adhered,0.947,0.94,0.944,0.972,0.785
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.88,0.915,0.897,0.902,0.589
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.876,0.88,0.878,0.902,0.561
