dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.955,0.94,0.948,0.971,0.867
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.953,0.91,0.931,0.965,0.786
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.946,0.87,0.906,0.953,0.737
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.96,0.95,0.955,0.976,0.835
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.907,0.89,0.898,0.948,0.797
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.878,0.88,0.879,0.94,0.759
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.936,0.9,0.917,0.957,0.835
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.918,0.91,0.914,0.958,0.765
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.889,0.88,0.885,0.944,0.744
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.947,0.94,0.944,0.972,0.785
