dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.46,0.48,0.47,0.416,0.196
20240624_mc38_10x_caged_4_class,test_ds,BBOX,all,0.75,0.72,0.734,0.728,0.406
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.942,0.93,0.936,0.953,0.533
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.558,0.51,0.533,0.503,0.279
20240624_mc38_10x_caged_4_class,test_ds,SEGM,all,0.749,0.72,0.734,0.727,0.404
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.945,0.92,0.932,0.94,0.539
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.553,0.52,0.536,0.513,0.268
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,all,0.808,0.84,0.824,0.873,0.57
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell,0.887,0.92,0.903,0.955,0.632
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.729,0.76,0.744,0.791,0.508
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,all,0.826,0.84,0.833,0.883,0.578
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell,0.885,0.93,0.907,0.958,0.66
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.767,0.75,0.758,0.808,0.496
20240625_mc38_10x_caged_4_class,test_ds,BBOX,all,0.779,0.745,0.761,0.806,0.509
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.782,0.75,0.766,0.817,0.497
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.775,0.74,0.757,0.796,0.521
20240625_mc38_10x_caged_4_class,test_ds,SEGM,all,0.801,0.785,0.793,0.852,0.542
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.78,0.78,0.78,0.839,0.555
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.821,0.79,0.805,0.865,0.529
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.214,0.23,0.222,0.141,0.044
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.428,0.46,0.444,0.282,0.087
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.18,0.165,0.172,0.088,0.024
