dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell,0.837,0.87,0.853,0.91,0.569
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.507,0.6,0.55,0.574,0.379
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,all,0.679,0.74,0.708,0.75,0.452
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell,0.84,0.87,0.855,0.911,0.559
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.519,0.61,0.561,0.589,0.345
20240625_mc38_10x_caged_4_class,test_ds,BBOX,all,0.688,0.76,0.722,0.773,0.521
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.703,0.75,0.726,0.78,0.536
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.673,0.77,0.718,0.765,0.506
20240625_mc38_10x_caged_4_class,test_ds,SEGM,all,0.709,0.79,0.747,0.807,0.542
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.712,0.76,0.735,0.789,0.561
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.706,0.82,0.759,0.825,0.523
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.385,0.4,0.392,0.403,0.15
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.77,0.8,0.784,0.806,0.299
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.381,0.39,0.386,0.391,0.135
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.763,0.78,0.771,0.781,0.271
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.398,0.415,0.406,0.414,0.169
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.797,0.83,0.813,0.829,0.337
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.398,0.41,0.404,0.409,0.158
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.796,0.82,0.808,0.818,0.316
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,all,0.726,0.765,0.745,0.787,0.551
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.629,0.69,0.658,0.689,0.423
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.824,0.84,0.832,0.886,0.679
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,all,0.731,0.785,0.757,0.797,0.485
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.628,0.7,0.662,0.693,0.431
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.835,0.87,0.852,0.9,0.54
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.762,0.73,0.746,0.785,0.567
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.729,0.69,0.709,0.778,0.514
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.795,0.77,0.782,0.791,0.62
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.764,0.745,0.754,0.801,0.487
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.736,0.69,0.712,0.785,0.518
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.792,0.8,0.796,0.816,0.457
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.569,0.57,0.569,0.57,0.351
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.391,0.42,0.405,0.366,0.221
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.747,0.72,0.733,0.774,0.481
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.626,0.61,0.617,0.623,0.368
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.391,0.42,0.405,0.366,0.22
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.861,0.8,0.829,0.879,0.515
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.198,0.26,0.225,0.202,0.117
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.395,0.52,0.449,0.403,0.235
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.197,0.26,0.224,0.201,0.125
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.394,0.52,0.448,0.402,0.249
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,all,0.682,0.71,0.693,0.712,0.472
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.54,0.65,0.59,0.573,0.373
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.825,0.77,0.796,0.851,0.572
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,all,0.714,0.74,0.724,0.743,0.498
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.54,0.65,0.59,0.574,0.384
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.887,0.83,0.857,0.911,0.612
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.435,0.42,0.427,0.425,0.218
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.869,0.84,0.854,0.85,0.436
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.431,0.425,0.428,0.425,0.229
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.861,0.85,0.856,0.85,0.457
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,all,0.579,0.55,0.564,0.566,0.368
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell,0.347,0.35,0.349,0.319,0.252
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.81,0.75,0.779,0.813,0.483
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,all,0.593,0.57,0.581,0.593,0.411
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell,0.347,0.35,0.349,0.319,0.265
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.838,0.79,0.813,0.867,0.557
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,all,0.405,0.49,0.427,0.39,0.269
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.19,0.41,0.26,0.174,0.122
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.619,0.57,0.594,0.606,0.416
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,all,0.407,0.495,0.431,0.399,0.267
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.192,0.41,0.261,0.176,0.122
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.623,0.58,0.601,0.621,0.411
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,all,0.657,0.69,0.667,0.655,0.468
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell,0.493,0.65,0.561,0.508,0.375
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell-adhered,0.821,0.73,0.773,0.802,0.561
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,all,0.663,0.695,0.672,0.664,0.465
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell,0.493,0.65,0.561,0.509,0.377
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell-adhered,0.833,0.74,0.784,0.818,0.553
