dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.846,0.8,0.822,0.859,0.626
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.903,0.89,0.896,0.944,0.761
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,all,0.876,0.85,0.863,0.904,0.686
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.846,0.8,0.822,0.86,0.641
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.906,0.9,0.903,0.949,0.732
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.836,0.855,0.845,0.915,0.699
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.899,0.87,0.884,0.95,0.737
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.773,0.84,0.805,0.879,0.662
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.832,0.865,0.848,0.918,0.692
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.883,0.89,0.886,0.952,0.747
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.782,0.84,0.81,0.885,0.638
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.839,0.87,0.854,0.923,0.694
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.819,0.87,0.844,0.912,0.681
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.86,0.87,0.865,0.934,0.706
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.841,0.875,0.857,0.925,0.692
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.814,0.88,0.846,0.914,0.696
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.867,0.87,0.869,0.937,0.687
20240624_mc38_10x_caged_4_class,test_ds,BBOX,all,0.777,0.79,0.783,0.807,0.578
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.939,0.95,0.945,0.975,0.718
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.615,0.63,0.622,0.639,0.438
20240624_mc38_10x_caged_4_class,test_ds,SEGM,all,0.778,0.795,0.786,0.812,0.586
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.935,0.94,0.938,0.962,0.732
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.621,0.65,0.635,0.663,0.44
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,all,0.851,0.855,0.853,0.901,0.653
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell,0.911,0.93,0.921,0.969,0.726
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.791,0.78,0.786,0.834,0.58
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,all,0.862,0.865,0.864,0.913,0.669
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell,0.913,0.93,0.921,0.969,0.752
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.812,0.8,0.806,0.858,0.585
20240625_mc38_10x_caged_4_class,test_ds,BBOX,all,0.747,0.77,0.756,0.821,0.558
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.806,0.75,0.777,0.852,0.584
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.689,0.79,0.736,0.79,0.531
20240625_mc38_10x_caged_4_class,test_ds,SEGM,all,0.775,0.8,0.785,0.857,0.547
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.809,0.76,0.784,0.858,0.603
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.74,0.84,0.787,0.856,0.491
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.895,0.865,0.88,0.927,0.632
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.885,0.88,0.882,0.928,0.623
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.905,0.85,0.877,0.927,0.641
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.901,0.855,0.877,0.922,0.627
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.886,0.87,0.878,0.92,0.605
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.916,0.84,0.876,0.925,0.649
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.899,0.88,0.889,0.919,0.595
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.882,0.88,0.881,0.912,0.563
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.916,0.88,0.898,0.925,0.627
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.904,0.87,0.887,0.913,0.596
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.889,0.87,0.879,0.91,0.556
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.919,0.87,0.894,0.916,0.636
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,all,0.805,0.785,0.795,0.851,0.645
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.755,0.73,0.742,0.8,0.587
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.855,0.84,0.847,0.901,0.703
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,all,0.818,0.805,0.812,0.865,0.611
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.753,0.74,0.746,0.804,0.595
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.884,0.87,0.877,0.925,0.627
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.893,0.915,0.903,0.957,0.82
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.846,0.91,0.877,0.943,0.797
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.941,0.92,0.93,0.97,0.844
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.906,0.92,0.912,0.962,0.806
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.854,0.91,0.881,0.946,0.799
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.958,0.93,0.944,0.978,0.813
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.631,0.655,0.64,0.652,0.438
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.449,0.55,0.494,0.468,0.323
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.812,0.76,0.785,0.836,0.552
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.67,0.685,0.674,0.686,0.452
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.45,0.55,0.495,0.468,0.32
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.89,0.82,0.853,0.904,0.583
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.493,0.455,0.464,0.414,0.187
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.37,0.47,0.414,0.332,0.138
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.615,0.44,0.513,0.496,0.236
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.489,0.46,0.466,0.419,0.192
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.37,0.47,0.414,0.332,0.141
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.608,0.45,0.517,0.506,0.243
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,all,0.59,0.595,0.592,0.587,0.351
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.468,0.51,0.488,0.433,0.243
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.713,0.68,0.696,0.741,0.458
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,all,0.623,0.615,0.618,0.615,0.366
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.471,0.51,0.49,0.434,0.254
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.775,0.72,0.747,0.796,0.479
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.858,0.82,0.839,0.851,0.332
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.804,0.77,0.786,0.784,0.222
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.912,0.87,0.891,0.918,0.442
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.852,0.825,0.838,0.851,0.324
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.791,0.77,0.78,0.778,0.215
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.914,0.88,0.897,0.924,0.433
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,all,0.59,0.645,0.603,0.603,0.404
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell,0.343,0.56,0.425,0.356,0.274
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.838,0.73,0.78,0.849,0.533
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,all,0.605,0.665,0.621,0.626,0.431
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell,0.343,0.56,0.425,0.357,0.279
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.867,0.77,0.816,0.895,0.583
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,all,0.749,0.745,0.746,0.802,0.631
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.659,0.7,0.679,0.72,0.562
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.839,0.79,0.814,0.883,0.701
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,all,0.754,0.75,0.751,0.805,0.637
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.659,0.7,0.679,0.72,0.568
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.849,0.8,0.824,0.891,0.705
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,all,0.78,0.785,0.78,0.816,0.617
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell,0.678,0.76,0.716,0.727,0.566
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell-adhered,0.882,0.81,0.845,0.904,0.668
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,all,0.785,0.79,0.786,0.82,0.622
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell,0.678,0.76,0.716,0.727,0.579
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell-adhered,0.893,0.82,0.855,0.913,0.666
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.923,0.87,0.896,0.927,0.634
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.907,0.82,0.861,0.895,0.449
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.94,0.92,0.93,0.959,0.82
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.92,0.875,0.897,0.927,0.575
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.89,0.82,0.853,0.888,0.395
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.95,0.93,0.94,0.966,0.754
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.909,0.885,0.897,0.943,0.783
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.874,0.86,0.867,0.926,0.738
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.943,0.91,0.926,0.961,0.827
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.921,0.895,0.908,0.949,0.75
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.888,0.86,0.874,0.929,0.726
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.953,0.93,0.942,0.969,0.775
